TX_ID,BLOCK_ID,BLOCK_TIMESTAMP,SENDER,MSG_KEY,MSG_VALUE,ASSET1_EXPONENT,ASSET2_EXPONENT,ASSET1_SYMBOL,ASSET1_AMOUNT,ASSET2_SYMBOL,ASSET2_AMOUNT,ASSET1_PRICE,ASSET2_PRICE
AACFEAE18663F2B10E8E8139C7E8B1CD06F976430ECE85C8BED3796FE43A9B26,4712168,2022-06-08 01:15:27.129,osmo1g87yhj6g3mjajlew5s6flrvw574hk2czxmpg38,tokens_in,null,6,6,ATOM,1.856062,STARS,519.7,8.887505354,0.02038870793
8CAAC410E1A3FB394F6F678409535AA1EA5FB4BF120CC9492A393174397F891E,4712358,2022-06-08 01:35:07.395,osmo1c90rh5le49rlet0gjmvaju4dwq88uftlk92ar0,tokens_in,null,6,6,ATOM,0.145251,STARS,40.7,8.887505354,0.02038870793
3AE908ED3CE390AE896932D18090F8BA6FBF3122E99687B194F8C86D45A005D7,4712182,2022-06-08 01:16:53.421,osmo1yp95ns7exf4l9jgh4rm58lmk3s6j80zyxanudc,tokens_in,null,6,6,ATOM,0.151067,STARS,42.33,8.887505354,0.02038870793
DF5F54A583DE32B60C744D8710DD901FD48A422C30457CA911F297DA06D810C1,4709842,2022-06-07 21:14:11.917,osmo1tcpmk8ztqs3f2rsu0yclzcnqjs7wu7pd9e45qf,tokens_out,null,6,6,ATOM,14.947929,STARS,4135.149459,8.887505354,0.02038870793
445DADC7156E29BD2244A8B9C1564D230CB166AE5C9ADC5BFBEF9E1423AED9E2,4708960,2022-06-07 19:42:32.396,osmo1qnnszl4rj303prcfvg5m5w0tzz2wvdla394uqk,tokens_in,null,6,6,ATOM,0.703136,STARS,195.764964,8.887505354,0.02038870793
1BA3AC996ED7F687D28C710F170BAE84A4AAC97C108969738A310B8BF5763B2E,4712874,2022-06-08 02:28:37.909,osmo1adtxg4klr2z65zqnxwxv66k5wel7mljutaq6mt,tokens_in,null,6,6,ATOM,0.230013,STARS,65.721544,8.887505354,0.02038870793
A9AC6D203CA3310E511E6E5DBBDB9CB5151B2D254F2669404A396EF5CEEDF5E1,4711427,2022-06-07 23:58:24.360,osmo1krs9xakfe9fyrgpzn0vlu85n6z4vkvsl69e2fp,tokens_in,null,6,6,ATOM,0.052914,STARS,14.79658,8.887505354,0.02038870793
919720592B4A46FBB529C8B385969A9EA9C3C5F502632B1FF49E0B6EEEFC589A,4712558,2022-06-08 01:55:50.788,osmo1q8v5vutp5x6jej33qfdjqd5xjmls65r93yzxw9,tokens_in,null,6,6,ATOM,0.043444,STARS,12.309764,8.887505354,0.02038870793
5FA1710EDB4D2232044FB69260BA2D3116D8D67DA1C4D281E4B5C1E0A2A9618D,4711639,2022-06-08 00:20:28.840,osmo1ky9ccv8d7l0zjt98kpr4rmj366unmf6dy3aluh,tokens_in,null,6,6,ATOM,1.655448,STARS,463,8.887505354,0.02038870793
455BEDD2B002D1EF605ECD266A1DD521CBD8CC3395D6CEFAEAEA86E93C761646,4708314,2022-06-07 18:35:01.036,osmo1wee624lpnwccdppyt2kdfys6rvr9xyvu7cee3x,tokens_in,null,6,6,ATOM,0.008691,STARS,2.40955,8.887505354,0.02038870793
899620937D17C73AEE2F7D77EDD0C3A54AA0F52B023ED3762133D50D9576FFAD,4711870,2022-06-08 00:44:31.061,osmo13shd9qcuycllwwfplzy5sagvjw3dn5vkchma9h,tokens_out,null,6,6,ATOM,34.86283,STARS,9750.266064,8.887505354,0.02038870793
0B269524A86FE03BEBF2686DA7C3E3E6A5AA6360D0D9252D6A5BD794B20EFE99,4711808,2022-06-08 00:38:05.864,osmo1hzl2sgk8kcurctkzx95nqw0mxj2vftf9x57ged,tokens_in,null,6,6,ATOM,0.004735,STARS,1.324262,8.887505354,0.02038870793
929649563D12650432809ECAD7E97588C41DE4449E51AA16DE0D9621CE708933,4709091,2022-06-07 19:56:06.118,osmo1slvy9lupfute6sz05jp76xly6xavs04hcxylu9,tokens_out,null,6,6,ATOM,4.288972,STARS,1193.888937,8.887505354,0.02038870793
D98D74B7BC0959F6DAA18D06480857245EA8FA4056D6CC484BBB8831060E002B,4712563,2022-06-08 01:56:21.854,osmo1q7hl5rd4l7nwmt73y3hvqjv6hawyl60r2av2ax,tokens_in,null,6,6,ATOM,0.163044,STARS,46.197989,8.887505354,0.02038870793
C4D72DD89ED915C967F126F5B8A07E94550049BE99CFBEB3B69489C0BA981C66,4711373,2022-06-07 23:52:49.691,osmo179774zrn5paywpd6p4kspcruaacj54g47xcjdx,tokens_in,null,6,6,ATOM,0.244566,STARS,68.416622,8.887505354,0.02038870793
B2DCEF81547EDD068817B7B86E633C6B2E620C7E07CE6E4C283945B2D5EC30EB,4712695,2022-06-08 02:10:10.195,osmo1q8v5vutp5x6jej33qfdjqd5xjmls65r93yzxw9,tokens_in,null,6,6,ATOM,2.04848,STARS,585.503153,8.887505354,0.02038870793
7B7F34B122488CCBEA41EAE6C377E09C1D46C60A1E2414850AD04827A95D12C5,4708112,2022-06-07 18:13:48.946,osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,tokens_out,null,6,6,ATOM,4.201624,STARS,1163.516169,8.887505354,0.02038870793
8D96C309D52714416F9C93848E0F06FECF214C929AF9B02D653160BCFD28346E,4709431,2022-06-07 20:31:24.155,osmo1yte9x7rytzch3yrgyvhnc99m5ga4rrfsx3yyc8,tokens_out,null,6,6,ATOM,22.738578,STARS,6325.047502,8.887505354,0.02038870793
19EE1B8D24F83CA9CAA644295FAD640E73C6D254A4BD5AFC3AB8205C341AD5FD,4709811,2022-06-07 21:10:58.513,osmo1j50w4vk02a9nscxpf99jez69gl6sqwxcalrw7t,tokens_in,null,6,6,ATOM,2.531493,STARS,700,8.887505354,0.02038870793
F8305560A354CCF704351BBF83C6B07B3E2842E09C1F31BD111DC33B368E03AA,4710445,2022-06-07 22:16:42.287,osmo1xm7lau0vas7elyxuyx9e6q4pg0uh3fwynus0e4,tokens_in,null,6,6,ATOM,0.200549,DSM,85.589352,8.887505354,0.02085169341
229EB230A4CBCCE421AFF9F397AC68436CF26B5EE598A84DFB0B748580A67E25,4708164,2022-06-07 18:19:17.323,osmo1gca7xukpr7twa0dufw4q4vuqt4g26lxdm9etx8,tokens_in,null,6,6,ATOM,0.13959,DSM,59.648004,8.887505354,0.02085169341
4FED045539A08AF6F8F8043463C2D5B98274EDB6ACC73425271F81B47A1CA2ED,4707933,2022-06-07 17:54:46.864,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,tokens_out,null,6,6,ATOM,7.434411,IRIS,1819.559218,8.887505354,0.02408522051
B5704C26D06E2CAC287FC76E6C4807DCD3FE8CFA85F88C1015D4C507DA46C872,4709774,2022-06-07 21:07:12.659,osmo1dxh7d7fuvjy43e0557mx6wwe4luyc0s2z0jfec,tokens_out,null,6,6,ATOM,0.141031,UMEE,42.40915,8.887505354,0.03014414371
EF3B65B6F1B2CD0DA3A6167A3F14748DAEC456B2DAF6BC5F74FE6C5AB5C97B54,4711363,2022-06-07 23:51:47.304,osmo179774zrn5paywpd6p4kspcruaacj54g47xcjdx,tokens_in,null,6,6,ATOM,0.583691,UMEE,176.766253,8.887505354,0.03014414371
ADC3D8CC35004758ED657A9F3D62E72280E386230DF00493FAEEA50A76E4F648,4711940,2022-06-08 00:51:46.925,osmo1kxauuat4yn7fuxpunf9q0emxd5rkfjy2waaweq,tokens_in,null,6,6,ATOM,0.566707,UMEE,171.867476,8.887505354,0.03014414371
D77113FDF9152DCE550EBE2A5EB773A916F1F1B0CB780353FFA294E5E13F1032,4708323,2022-06-07 18:35:55.911,osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,tokens_in,null,6,6,ATOM,0.879932,UMEE,258,8.887505354,0.03014414371
9DCDF68A8C7ADD7EB268BC311FE6939AE98E2880CE705744E485B1E8ABB5FA30,4709840,2022-06-07 21:13:59.613,osmo16lln26dtpdd0dyp4g76jaqgde5wc5mc8e2cvy3,tokens_out,null,6,6,ATOM,0.11529,UMEE,34.672111,8.887505354,0.03014414371
F0E560788C8BC222C5ED8EFE3766B2F6C1C16317BA027EF9BF1B5568CD1DA79C,4712191,2022-06-08 01:17:48.691,osmo1krs9xakfe9fyrgpzn0vlu85n6z4vkvsl69e2fp,tokens_in,null,6,6,ATOM,0.007032,UMEE,2.12954,8.887505354,0.03014414371
4951338162B325E608726BF3D5F66B5FA240E8813B22CEE0772B56CC111AFD8F,4709147,2022-06-07 20:01:55.187,osmo1tnsq39570fpckxy4sjrmgppyw8u9kgdletcxdl,tokens_in,null,6,6,ATOM,0.060369,UMEE,18.021651,8.887505354,0.03014414371
841753EBCC74BBEE1812D80A3292F29782E4FE1FC1CFDBF52CA34665F73832E3,4711445,2022-06-08 00:00:16.010,osmo1enz4x0szrqkxgygac948dyxdfvhwms24hsqgp4,tokens_in,null,6,6,ATOM,0.138431,UMEE,41.933274,8.887505354,0.03014414371
9067C29F9469D4BA904A7612A47A27E567A549818AB5283BFE8C0020717A8122,4708008,2022-06-07 18:02:44.583,osmo1d5jcz0a6wtqr62hlk9m28qg5wukqsjep4rvjug,tokens_in,null,6,9,ATOM,0.043016,CHEQ,9.715839203,8.887505354,0.04105552745
9E7BF10C6F5CA329BF769D9BBBD0AC9E2B136E8CCD077B5151430FFDD3E2E4DD,4711207,2022-06-07 23:35:40.694,osmo1kqtu5swvgzqqe6es7l6sj82swg7g37l5sw8f2t,tokens_in,null,6,9,ATOM,0.158015,CHEQ,36,8.887505354,0.04105552745
8042B70F6B24B0022E8A5D33BE9765DFDFABBD31EB0B9A90E42527484F1F5B9D,4709657,2022-06-07 20:55:00.651,osmo1qnqwxazzha6lsx2rs2gewu2337uha5lz5uf2yt,tokens_out,null,6,6,ATOM,0.006474,LUM,41.864996,8.887505354,0.1335431229
BB0C187BDBF3490BE1F7D82D1DDF68AC0849379473B59787598225103F6BD9E4,4711824,2022-06-08 00:39:46.117,osmo1hrlrcz4etjdftqrx2ramrxldrf5gpg9nqjd0ur,tokens_out,null,6,8,ATOM,1.202035,CRO,62.35558876,8.887505354,0.1726866684
5C2F2A686DF674F12C6FA6BC4AB01FAC6C6DC54CB0FC66CBBD1E0D520BF32757,4710631,2022-06-07 22:36:00.408,osmo1zzgc9jukqxppns6lu042a87kej5af6f29shel2,tokens_in,null,6,8,ATOM,0.008746,CRO,0.44677201,8.887505354,0.1726866684
1B0852DD5C1389E99EDC69889AC633D64AED23F0034D21F44CB808A88A00014A,4710106,2022-06-07 21:41:38.231,osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,tokens_out,null,6,8,ATOM,42.38766,CRO,2137.8731146,8.887505354,0.1726866684
0DEA72DC5AA94BE3C6D28B65196F0CBD7D93379C987627968A9AC0107C907006,4709709,2022-06-07 21:00:24.359,osmo164zttnpu52tkjjcmq42ts0nfu0872wfm5ahyld,tokens_out,null,6,8,ATOM,4.035105,CRO,202.82135853,8.887505354,0.1726866684
A1A0E03B60F9EF52DDAF4FD10DFF04097931BFD679ABBF92D85292F2E14C24A5,4709625,2022-06-07 20:51:39.419,osmo1rncc9x794q6le56vryjtljnvjl2recn3w2htdp,tokens_out,null,6,8,ATOM,8.784595,CRO,441.57123073,8.887505354,0.1726866684
CF973E14164BBDB8D5A169E4691661219A4F83B6D279F403BB39649A747FFD51,4709391,2022-06-07 20:27:17.266,osmo1hjuyx0s343kf079cjgx3qnvqjhtkdzm2zvav82,tokens_in,null,6,8,ATOM,0.006939,CRO,0.34879633,8.887505354,0.1726866684
570E43A1E965DAF1AF766D256F1E99C7E57D540F8BE0AEFE4AD3644F67F7E6D7,4708615,2022-06-07 19:06:35.773,osmo1vrml8rkxcstrneqv208wmd9f3yd5uwkwc84aga,tokens_in,null,18,6,ROWAN,13.68029,ASVT,0.380226,null,0.6957946162
AACAEF69BDAD870306815837AFA0DC680EDE727858D577FF005805DEF7CA1F5A,4711278,2022-06-07 23:43:00.724,osmo1q3dpka799kz96mnm56jygcqvqex8zd22h3adzu,tokens_in,null,18,6,ROWAN,242.4929,ASVT,6.857903,null,0.6957946162
E8E48D6A3176BA7EE7EE27D7519BAEEEB003C2DAFA68BCF457D646DDA6AE49A7,4709993,2022-06-07 21:29:51.984,osmo14ufjhc808xnmmf8e8h56fssen2aqz9rpqa3jt4,tokens_in,null,18,6,ROWAN,3.618052,ASVT,0.100983,null,0.6957946162
AAD43F60B8B63DBF9A97F37D4ECBA7EF6B9DDD8594CE82573647E26A324BA030,4711793,2022-06-08 00:36:28.145,osmo1krs9xakfe9fyrgpzn0vlu85n6z4vkvsl69e2fp,tokens_in,null,18,6,ROWAN,14.06877,ASVT,0.397723,null,0.6957946162
